source_project_id,region,display_name,parent_group,project_set,manual_launch_date,manual_built_up_min_sqft,manual_built_up_max_sqft,manual_psf_min,manual_psf_max,tracking_notes,active,date_added,origin
31112-1,Kuala Lumpur,Alderwood Residence,,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
30632-1,Kuala Lumpur,Aricia Residence,,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
30256-2,Kuala Lumpur,Armani Hallson KLCC,,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
30280-1,Kuala Lumpur,Arte Solaris,ASIA LINK-UP SDN BHD,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
30777-1,Kuala Lumpur,Asa Residence,,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
30980-1,Kuala Lumpur,Astoria Ceylon Hill,LAND PACIFIC DEVELOPMENT SDN BHD,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
31332-1,Kuala Lumpur,Binastra Cochrane,,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
30784-1,Kuala Lumpur,BRANNIGANZ SUITES @ BUKIT BINTANG,Exsim,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
30833-1,Kuala Lumpur,Centrix The Station,CREST BUILDER INTERNATIONAL SDN BHD,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
9149-2,Kuala Lumpur,CloutHaus,TA ENTERPRISE BERHAD,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
30629-2,Kuala Lumpur,Dawn KLCC,Chin Hin,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
31096-1,Kuala Lumpur,Divine KLCC,Chin Hin,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
30755-1,Kuala Lumpur,Golden Crown Residence,Nation Venue Sdn Bhd,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
13666-2,Kuala Lumpur,Hanaz Suites @ KL City Centre,Exsim,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
30370-1,Kuala Lumpur,Hugoz Suites @ KL City Centre,Exsim,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
8164-6,Kuala Lumpur,Kiaramas Dedaun,ASIA QUEST LAND SDN BHD,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
31219-1,Kuala Lumpur,KL 360,GD MASS DEVELOPMENT SDN BHD,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
30031-1,Kuala Lumpur,KL 48,EcoFirst CONSOLIDATED BHD,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
30789-1,Kuala Lumpur,Kyliez Suites @ Kl City Centre,Exsim,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
31251-1,Kuala Lumpur,M Aria,Mah Sing,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
30834-1,Kuala Lumpur,M Azura,Mah Sing,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
30135-2,Kuala Lumpur,Menara Armani Prestij,,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
11611-2,Kuala Lumpur,Miranda Hills,,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
5660-14,Kuala Lumpur,Oaka Residence,Berjaya,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
30947-1,Kuala Lumpur,One Seputeh Residence,,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
30400-1,Kuala Lumpur,Papyrus Residence,,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
30667-1,Kuala Lumpur,Park Green Bukit Jalil,MALTON BERHAD,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
30633-1,Kuala Lumpur,Pavillion Square,,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
31158-1,Kuala Lumpur,Peel Lane,ORANDO HOLDINGS SDN BHD,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
31008-1,Kuala Lumpur,Platinum Melati Residence,,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
19779-3,Kuala Lumpur,Ren Residence Bukit Jalil,,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
30250-2,Kuala Lumpur,Residensi Aurum,,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
8261-5,Kuala Lumpur,Royal Garden,MALAYSIA LAND PROPERTIES SDN BHD,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
19760-2,Kuala Lumpur,Skyline Embassy Ampang,LAW DEVELOPMENTS SDN BHD,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
4131-139,Kuala Lumpur,SOLASTA DUTAMAS,YNH PROPERTY BHD.,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
19221-3,Kuala Lumpur,Stellaris,IJM,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
8824-5,Kuala Lumpur,Sunway Cochrane,Sunway,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
30685-1,Kuala Lumpur,Sunway Velocity 3,Sunway,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
14510-2,Kuala Lumpur,SWNK,,reporting_set,,,,,,,Yes,2026-08-16,manual
30349-1,Kuala Lumpur,Tangen Residence,ENG HAN BINA SDN BHD,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
597-14,Kuala Lumpur,The Reya KL,Sime Darby,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
8406-3,Kuala Lumpur,The Skies,,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
30769-1,Kuala Lumpur,Tuan Heritage 3,CPILAND SDN BHD,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
30513-1,Kuala Lumpur,Tuju Residence,Eccaz Sdn Bhd,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
30648-1,Kuala Lumpur,Vila Setara,,comparator_set,,,,,,,Yes,2026-08-16,authorized_chgp_public_shortlist
30555-1,Penang,Eden at Botanica CT,MTT Group,reporting_set,,,,,,,Yes,2026-08-16,user_reporting_set
31061-1,Penang,Pinnacle Bukit Gambier,Pinnacle Homes,reporting_set,,1080,1726,,,,Yes,2026-08-16,user_reporting_set
14300-2,Penang,The Alton,Airmas Group,reporting_set,,,,,,,Yes,2026-08-16,user_reporting_set
30439-1,Penang,The Anton,Tamarins Land,reporting_set,,,,,,,Yes,2026-08-16,user_reporting_set
30744-1,Penang,The Crown,Chin Hin,general,2024-07-14,614,1625,,,,Yes,2026-08-16,manual
